NAME1,ADDRESS,TK,NAME,TITLE,TITLE_1, 
"Θεσπιές Βοιωτίας, Κοιλάδα των Μουσών",,,Θεσπιές,Θ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Θήβα,,32200,Θήβα,Θ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Θίσβη,,,Θίσβη,Θ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Θόλος/ Θυμέλη στο Ιερό του Ασκληπιού Επιδαύρου,,,Λυγουριό,Δ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Θόλος, 
Θορικός,Περιοχή Θορικού,,Λαύριο,Β΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Προϊστορικός οικισμός, 
Ιαλυσός,,85101,Ιαλυσός,ΚΒ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οικισμός, 
Ιαματικά λουτρά Παντελίδη,,,Πάλοι,Υπηρεσία Νεωτέρων Μνημείων και Τεχνικών Έργων Δωδεκανήσου,Λουτρά, 
Ιερά Απόλλωνος Δειραδιώτη και Αθηνάς Οξυδερκούς,,,Άργος,Δ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Ιερά Μοn- Repos,,,Κέρκυρα,Η΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Ιερά Μονή Αγίου Βλασίου  ,,,Άνω Τρίκαλα,25η Εφορεία Βυζαντινών Αρχαιοτήτων,Μοναστηριακό Κέντρο, 
Ιερά Μονή Αγίου Γεωργίου,,,Φενεός,25η Εφορεία Βυζαντινών Αρχαιοτήτων,Μοναστηριακό Κέντρο, 
Ιερά Μονή Αγίου Λαυρεντίου,,,Άγιος Λαυρέντιος,7η Εφορεία Βυζαντινών Αρχαιοτήτων,Μοναστηριακό Κέντρο, 
Ιερά Μονή Θεοτόκου Καλών Νησιών,,,Περαχώρα,25η Εφορεία Βυζαντινών Αρχαιοτήτων,Μοναστηριακό Κέντρο, 
Ιερά Μονή Μεταμόρφωσης Σωτήρος,,,Δρυόβουνο,17η Εφορεία Βυζαντινών Αρχαιοτήτων,Μοναστηριακό Κέντρο, 
"Ιερά Μονή Οσίου Νικάνορος, Ζάβορδας",,,Δεσκάτη,17η Εφορεία Βυζαντινών Αρχαιοτήτων,Μοναστηριακό Κέντρο, 
Ιερά Μονή Παναγίας,,,Μεσαία Τρίκαλα,25η Εφορεία Βυζαντινών Αρχαιοτήτων,Μοναστηριακό Κέντρο, 
Ιερά Μονή Παναγίας του Βράχου,,,Νεμέα,25η Εφορεία Βυζαντινών Αρχαιοτήτων,Μοναστηριακό Κέντρο, 
Ιερά Μονή Παναγίας Χρυσίνου,,,Κλεινοβό,19η Εφορεία Βυζαντινών Αρχαιοτήτων,Μοναστηριακό Κέντρο, 
Ιερά Μονή Προφήτη Ηλία ,,,Ευρωστίνη,25η Εφορεία Βυζαντινών Αρχαιοτήτων,Μοναστηριακό Κέντρο, 
Ιερό Αθηνάς,,,Σούνιο,Β΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Ιερό Αρτέμιδος στη Ρακίτα Αχαϊας,,,Ρακίτα,ΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Ιερό Αυλιδείας Αρτέμιδος,,34100,Βαθύ Αυλίδος,ΙΑ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Ιερό Διονύσου και Νυμφών (Ιερό Άμμωνα Δία),,,Καλλιθέα,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Ιερό Ορθίας Αρτέμιδος,,,Σπάρτη,Ε΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Ιερό Ποσειδίου,,,Ποσείδι,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Ιερό Ποσειδώνος στην Καλαυρεία Πόρου,Παλάτια,,Πόρος,ΚΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Ιερό Ποσειδώνος στο Σούνιο,Δήμος Λαυρεωτικής,,Σούνιο,Β΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Ιερό της Αφροδίτης Δαφνίου,,,Αθήνα,Γ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Λατρευτικοί, 
Ιερό της Δέσποινας - Λυκόσουρα,Κοινότητα Λυκόσουρας,,Λυκοσούρα,Ε΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Ιερό της Μεγάλης Μητέρας (Μάνταλ Παναγιά),,68002,Προφήτης Ηλίας,ΙΘ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Ιερό του Απόλλωνος των Αβών,,35200,Καλαπόδι,ΙΔ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Ιερό του Διός στη Νεμέα,,,Νεμέα,ΛΖ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Ιερό των Μεγάλων Θεών Σαμοθράκης,Παλαιόπολη,68002,Σαμοθράκη,ΙΘ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Ίωρον,,61100,Παλατιανό,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Καβείριο Θηβών,,32200,Θήβα,Θ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Καλλίθηρα,Καλλίθηρο,,Καρδίτσα,ΛΘ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Προϊστορικός οικισμός,
Κάλλιον,,,Λιδωρίκι,Ι΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Καλογερόβρυση,,34100,Φύλλα,ΙΑ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Προϊστορικός οικισμός, 
Καλυδώνα,Αρχαία Καλυδώνα,,Ευηνοχώρι,ΛΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Διαμονής, 
Καλυδώνα,Αρχαία Καλυδώνα,,Ευηνοχώρι,ΛΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Κάμειρος,,85100,Κάμειρος,ΚΒ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οικισμός, 
Καμενίτσα Γορτυνίας,,,Καμενίτσα Γορτυνίας,Ε΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Προϊστορικός οικισμός, 
Κάμπος Ικαρίας,,,Κάμπος,ΚΑ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Προϊστορικός οικισμός, 
Κάμπος Χίου,,,Κάμπος,Υπηρεσία Νεωτέρων Μνημείων και Τεχνικών Έργων Βορείου Αιγαίου,Προϊστορικός οικισμός, 
